year;technology;parameter;value;unit;source
2015;hard_coal;emission-factor;0.34;t (CO2) / MWh;UBA 2016 - CO2 Emission Factors for Fossil Fuels Raw - p. 45 hard coal (power stations, industry)
2015;gas;emission-factor;0.20;t (CO2) / MWh;UBA 2016 - p.45 Natural gas, Germany
2015;lignite;emission-factor;0.41;t (CO2) / MWh;UBA 2016 - p.45 Rhineland
2015;waste;emission-factor;0.30;t (CO2) / MWh;
2015;biomass;emission-factor;0.00;t (CO2) / MWh;
2015;nuclear;emission-factor;0.00;t (CO2) / MWh;
2015;oil;emission-factor;0.27;t (CO2) / MWh;UBA 2016 - p.45 Diesel fuel, Germany
2015;co2;cost;8.0;EUR / t (CO2);
2015;hard_coal;fuel-cost;8.4;EUR / MWh;DIW 2013
2015;gas;fuel-cost;21.6;EUR / MWh;DIW 2013
2015;lignite;fuel-cost;2.9;EUR / MWh;DIW 2013
2015;waste;fuel-cost;7.0;EUR / MWh;
2015;biomass;fuel-cost;7.0;EUR / MWh;DIW 2013
2015;nuclear;fuel-cost;3.0;EUR / MWh;DIW 2013
2015;oil;fuel-cost;1.0;EUR / MWh;
2015;biomass;electrical-efficiency;0.455;per unit;DIW 2013
2015;hard_coal_ccgt;electrical-efficiency;0.480;per unit;
2015;hard_coal_st;electrical-efficiency;0.390;per unit;DIW 2013 (Coal - PC w/o CCTS (Subcritical))
2015;lignite;electrical-efficiency;0.434;per unit;DIW 2013
2015;gas_ccgt;electrical-efficiency;0.602;per unit;DIW 2013
2015;gas_ocgt;electrical-efficiency;0.391;per unit;DIW 2013 (Gas Combustion Turbine w/o CCTS)
2015;gas_st;electrical-efficiency;0.411;per unit;DIW 2013
2015;nuclear;electrical-efficiency;0.332;per unit;DIW 2013
2015;oil;electrical-efficiency;0.410;per unit;DIW 2013
2015;waste;electrical-efficiency;0.410;per unit;
2015;pumped-storage;electrical-efficiency (round trip);0.75;per unit;DIW 2013
2015;biomass;variable-cost;0.0;EUR / MWh;
2015;hard_coal_ccgt;variable-cost;6.0;EUR / MWh;
2015;hard_coal_st;variable-cost;6.0;EUR / MWh;DIW 2013
2015;lignite;variable-cost;7.0;EUR / MWh;DIW 2013
2015;gas_ccgt;variable-cost;4.0;EUR / MWh;DIW 2013
2015;gas_ocgt;variable-cost;3.0;EUR / MWh;DIW 2013
2015;gas_st;variable-cost;3.0;EUR / MWh;DIW 2013
2015;nuclear;variable-cost;8.5;EUR / MWh;DIW 2013
2015;oil;variable-cost;3.0;EUR / MWh;
2015;waste;variable-cost;3.0;EUR / MWh;
2015;reservoir;electrical-efficiency;0.90;per unit;DIW 2013
