name;capacity;from_bus;loss;tech;to_bus;type
AT-electricity-CH-electricity;470;AT-electricity;0.03;transshipment;CH-electricity;link
AT-electricity-CZ-electricity;600;AT-electricity;0.03;transshipment;CZ-electricity;link
AT-electricity-DE-electricity;2000;AT-electricity;0.03;transshipment;DE-electricity;link
BE-electricity-FR-electricity;2300;BE-electricity;0.03;transshipment;FR-electricity;link
BE-electricity-NL-electricity;2400;BE-electricity;0.03;transshipment;NL-electricity;link
CZ-electricity-AT-electricity;1000;CZ-electricity;0.03;transshipment;AT-electricity;link
CZ-electricity-DE-electricity;2300;CZ-electricity;0.03;transshipment;DE-electricity;link
CZ-electricity-PL-electricity;800;CZ-electricity;0.03;transshipment;PL-electricity;link
DE-electricity-AT-electricity;2200;DE-electricity;0.03;transshipment;AT-electricity;link
DE-electricity-CH-electricity;1500;DE-electricity;0.03;transshipment;CH-electricity;link
DE-electricity-CZ-electricity;800;DE-electricity;0.03;transshipment;CZ-electricity;link
DE-electricity-DK-electricity;1550;DE-electricity;0.03;transshipment;DK-electricity;link
DE-electricity-FR-electricity;3200;DE-electricity;0.03;transshipment;FR-electricity;link
DE-electricity-LU-electricity;980;DE-electricity;0.03;transshipment;LU-electricity;link
DE-electricity-NL-electricity;3850;DE-electricity;0.03;transshipment;NL-electricity;link
DE-electricity-PL-electricity;1200;DE-electricity;0.03;transshipment;PL-electricity;link
DE-electricity-SE-electricity;600;DE-electricity;0.03;transshipment;SE-electricity;link
DK-electricity-DE-electricity;2085;DK-electricity;0.03;transshipment;DE-electricity;link
DK-electricity-NO-electricity;950;DK-electricity;0.03;transshipment;NO-electricity;link
DK-electricity-SE-electricity;2440;DK-electricity;0.03;transshipment;SE-electricity;link
FR-electricity-BE-electricity;3400;FR-electricity;0.03;transshipment;BE-electricity;link
FR-electricity-CH-electricity;3200;FR-electricity;0.03;transshipment;CH-electricity;link
FR-electricity-DE-electricity;2700;FR-electricity;0.03;transshipment;DE-electricity;link
LU-electricity-DE-electricity;0;LU-electricity;0.03;transshipment;DE-electricity;link
NL-electricity-BE-electricity;2400;NL-electricity;0.03;transshipment;BE-electricity;link
NL-electricity-DE-electricity;3000;NL-electricity;0.03;transshipment;DE-electricity;link
NO-electricity-DK-electricity;950;NO-electricity;0.03;transshipment;DK-electricity;link
NO-electricity-SE-electricity;3595;NO-electricity;0.03;transshipment;SE-electricity;link
PL-electricity-CZ-electricity;1800;PL-electricity;0.03;transshipment;CZ-electricity;link
PL-electricity-DE-electricity;1100;PL-electricity;0.03;transshipment;DE-electricity;link
PL-electricity-SE-electricity;0;PL-electricity;0.03;transshipment;SE-electricity;link
SE-electricity-DE-electricity;610;SE-electricity;0.03;transshipment;DE-electricity;link
SE-electricity-DK-electricity;1980;SE-electricity;0.03;transshipment;DK-electricity;link
SE-electricity-NO-electricity;3895;SE-electricity;0.03;transshipment;NO-electricity;link
SE-electricity-PL-electricity;600;SE-electricity;0.03;transshipment;PL-electricity;link
