name;bus;capacity;carrier;marginal_cost;profile;tech;type
AT-pv;AT-electricity;937.0;solar;0;AT-pv-profile;pv;volatile
AT-wind-onshore;AT-electricity;2489.0;wind;0;AT-wind-onshore-profile;wind-onshore;volatile
BE-pv;BE-electricity;3122.0;solar;0;BE-pv-profile;pv;volatile
BE-wind-offshore;BE-electricity;712.0;wind;0;BE-wind-offshore-profile;wind-offshore;volatile
BE-wind-onshore;BE-electricity;1464.0;wind;0;BE-wind-onshore-profile;wind-onshore;volatile
CH-pv;CH-electricity;6755.0;solar;0;CH-pv-profile;pv;volatile
CH-wind-onshore;CH-electricity;60.3;wind;0;CH-wind-onshore-profile;wind-onshore;volatile
CZ-pv;CZ-electricity;2075.0;solar;0;CZ-pv-profile;pv;volatile
CZ-wind-onshore;CZ-electricity;281.0;wind;0;CZ-wind-onshore-profile;wind-onshore;volatile
DE-pv;DE-electricity;39245.0;solar;0;DE-pv-profile;pv;volatile
DE-wind-offshore;DE-electricity;3547.0;wind;0;DE-wind-offshore-profile;wind-offshore;volatile
DE-wind-onshore;DE-electricity;41033.0;wind;0;DE-wind-onshore-profile;wind-onshore;volatile
DK-pv;DK-electricity;782.0;solar;0;DK-pv-profile;pv;volatile
DK-wind-offshore;DK-electricity;1273.0;wind;0;DK-wind-offshore-profile;wind-offshore;volatile
DK-wind-onshore;DK-electricity;3803.0;wind;0;DK-wind-onshore-profile;wind-onshore;volatile
FR-pv;FR-electricity;6755.0;solar;0;FR-pv-profile;pv;volatile
FR-wind-onshore;FR-electricity;10217.0;wind;0;FR-wind-onshore-profile;wind-onshore;volatile
LU-pv;LU-electricity;116.0;solar;0;LU-pv-profile;pv;volatile
LU-wind-onshore;LU-electricity;64.0;wind;0;LU-wind-onshore-profile;wind-onshore;volatile
NL-pv;NL-electricity;1515.0;solar;0;NL-pv-profile;pv;volatile
NL-wind-offshore;NL-electricity;376.0;wind;0;NL-wind-offshore-profile;wind-offshore;volatile
NL-wind-onshore;NL-electricity;3015.0;wind;0;NL-wind-onshore-profile;wind-onshore;volatile
NO-pv;NO-electricity;937.0;solar;0;NO-pv-profile;pv;volatile
NO-wind-onshore;NO-electricity;900.0;wind;0;NO-wind-onshore-profile;wind-onshore;volatile
PL-pv;PL-electricity;108.0;solar;0;PL-pv-profile;pv;volatile
PL-wind-onshore;PL-electricity;4886.0;wind;0;PL-wind-onshore-profile;wind-onshore;volatile
SE-pv;SE-electricity;104.0;solar;0;SE-pv-profile;pv;volatile
SE-wind-onshore;SE-electricity;5840.0;wind;0;SE-wind-onshore-profile;wind-onshore;volatile
